10000
         34621426 function calls (34606623 primitive calls) in 9.130 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 _secondary_axes.py:1(<module>)
       30    0.000    0.000    0.006    0.000 typing.py:1762(copy_with)
     3793    0.005    0.000    0.005    0.000 {built-in method _codecs.utf_8_decode}
      636    0.003    0.000    0.005    0.000 functools.py:36(update_wrapper)
        1    0.000    0.000    0.005    0.005 mathtext.py:1(<module>)
      310    0.001    0.000    0.005    0.000 function_base.py:486(add_newdoc)
        7    0.000    0.000    0.005    0.001 __init__.py:71(import_module)
        2    0.000    0.000    0.005    0.003 abc.py:1(<module>)
        7    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.005    0.005 __init__.py:245(_check_versions)
      630    0.002    0.000    0.005    0.000 enum.py:354(__setitem__)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
     2194    0.002    0.000    0.005    0.000 typing.py:1122(_is_unpacked_typevartuple)
        7    0.000    0.000    0.005    0.001 rcsetup.py:426(validate_font_properties)
        6    0.000    0.000    0.005    0.001 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
    10000    0.003    0.000    0.005    0.000 sequence.py:246(__str__)
        1    0.000    0.000    0.005    0.005 transforms.py:1(<module>)
        8    0.000    0.000    0.005    0.001 core.py:6238(__init__)
     28/7    0.000    0.000    0.005    0.001 core.py:5048(leave_whitespace)
        1    0.000    0.000    0.005    0.005 legend.py:1(<module>)
        8    0.000    0.000    0.005    0.001 dataclasses.py:470(add_fns_to_class)
     7527    0.003    0.000    0.005    0.000 _parser.py:167(__getitem__)
      230    0.001    0.000    0.005    0.000 overrides.py:85(verify_matching_signatures)
       64    0.001    0.000    0.004    0.000 util.py:420(replaced_by_pep8)
       39    0.000    0.000    0.004    0.000 colors.py:1081(from_list)
        1    0.000    0.000    0.004    0.004 ImagePalette.py:1(<module>)
        8    0.000    0.000    0.004    0.001 core.py:1248(parse_string)
      477    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
